epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1009.63,0.81606,0.51118,1.0066,0.90272,0.89446,0.91528,0.71064,0.80524,0.54387,0.96932,0.00080853,0.00080853,0.00080853
57,1027.59,0.81225,0.50702,1.00292,0.87686,0.91475,0.90917,0.69644,0.81416,0.53029,0.98039,0.000803031,0.000803031,0.000803031
58,1045.3,0.8106,0.50992,1.00133,0.89236,0.91964,0.91824,0.71307,0.79964,0.52031,0.96696,0.000797531,0.000797531,0.000797531
59,1063.23,0.81086,0.51104,0.99637,0.89529,0.92388,0.92814,0.72257,0.79474,0.50633,0.97334,0.000792032,0.000792032,0.000792032
60,1081.09,0.80754,0.50193,1.00113,0.90102,0.91471,0.92111,0.71537,0.80079,0.53037,0.97222,0.000786532,0.000786532,0.000786532
61,1099.05,0.80419,0.50053,1.00397,0.89147,0.90813,0.91521,0.70891,0.80519,0.53117,0.98074,0.000781033,0.000781033,0.000781033
62,1117.03,0.79559,0.49238,0.99526,0.90234,0.9191,0.93064,0.72222,0.78627,0.50275,0.97979,0.000775534,0.000775534,0.000775534
63,1135.03,0.79012,0.49676,0.99482,0.89074,0.90915,0.92469,0.71646,0.79379,0.52741,0.97594,0.000770034,0.000770034,0.000770034
64,1152.8,0.79467,0.49224,0.99343,0.90799,0.90482,0.9257,0.71453,0.8135,0.54112,0.97939,0.000764535,0.000764535,0.000764535
65,1170.53,0.7983,0.49478,1.00095,0.89103,0.92404,0.92516,0.71834,0.79004,0.50744,0.97343,0.000759035,0.000759035,0.000759035
66,1188.29,0.79846,0.4933,0.99696,0.88475,0.92307,0.91855,0.70917,0.7983,0.50571,0.97946,0.000753536,0.000753536,0.000753536
67,1206.21,0.79471,0.4914,0.99514,0.89734,0.90915,0.9193,0.71828,0.79163,0.51693,0.96715,0.000748036,0.000748036,0.000748036
68,1223.91,0.78004,0.47694,0.98767,0.8936,0.91891,0.91632,0.71929,0.7805,0.51561,0.96026,0.000742537,0.000742537,0.000742537
69,1241.67,0.78354,0.47389,0.99014,0.90097,0.92653,0.92439,0.72342,0.76888,0.49718,0.96807,0.000737037,0.000737037,0.000737037
70,1259.38,0.78638,0.48376,0.98891,0.89865,0.90626,0.9168,0.71959,0.78301,0.52517,0.96874,0.000731538,0.000731538,0.000731538
71,1277.34,0.77461,0.47973,0.99046,0.90179,0.90445,0.91521,0.71004,0.79228,0.50828,0.9855,0.000726038,0.000726038,0.000726038
72,1295.31,0.77264,0.47489,0.98398,0.89443,0.91725,0.91755,0.71445,0.78487,0.50994,0.97786,0.000720539,0.000720539,0.000720539
73,1313.41,0.77867,0.47453,0.98419,0.90035,0.90956,0.9197,0.71426,0.7858,0.50989,0.9808,0.00071504,0.00071504,0.00071504
74,1331.34,0.78016,0.4876,0.99284,0.89178,0.91786,0.91402,0.71434,0.77791,0.51786,0.96679,0.00070954,0.00070954,0.00070954
75,1349.35,0.77724,0.47474,0.98766,0.88022,0.92113,0.91683,0.7237,0.7756,0.49527,0.96607,0.000704041,0.000704041,0.000704041
76,1367.49,0.769,0.46916,0.99019,0.89644,0.91468,0.91525,0.717,0.77658,0.49551,0.97118,0.000698541,0.000698541,0.000698541
77,1385.49,0.76577,0.48396,0.98668,0.89083,0.89829,0.91434,0.71878,0.78425,0.52293,0.97243,0.000693042,0.000693042,0.000693042
78,1403.36,0.75307,0.45558,0.97811,0.88268,0.91551,0.91824,0.7168,0.78572,0.52074,0.97647,0.000687542,0.000687542,0.000687542
79,1421.1,0.77158,0.46802,0.98868,0.90039,0.91076,0.91672,0.71773,0.77162,0.49824,0.97156,0.000682043,0.000682043,0.000682043
80,1439.17,0.75973,0.45576,0.98294,0.88056,0.93012,0.91439,0.71874,0.77876,0.49613,0.96287,0.000676543,0.000676543,0.000676543
81,1457.05,0.76589,0.45531,0.9844,0.90298,0.91499,0.91802,0.72329,0.76566,0.49725,0.95565,0.000671044,0.000671044,0.000671044
82,1474.74,0.75313,0.46658,0.98143,0.89642,0.9146,0.91059,0.71456,0.77172,0.49987,0.97446,0.000665545,0.000665545,0.000665545
83,1492.7,0.76049,0.47016,0.98407,0.8827,0.923,0.92037,0.71634,0.77975,0.50818,0.98136,0.000660045,0.000660045,0.000660045
84,1510.5,0.75305,0.47039,0.98171,0.87514,0.91557,0.91135,0.7167,0.76148,0.50764,0.96535,0.000654546,0.000654546,0.000654546
85,1528.2,0.75396,0.46371,0.97844,0.87327,0.91442,0.9088,0.69823,0.80198,0.52532,0.98901,0.000649046,0.000649046,0.000649046
86,1545.92,0.74758,0.45094,0.97837,0.89142,0.92216,0.91462,0.72236,0.76926,0.50328,0.97407,0.000643547,0.000643547,0.000643547
87,1563.89,0.74827,0.45461,0.97352,0.89965,0.91923,0.91637,0.71701,0.76943,0.50667,0.96592,0.000638047,0.000638047,0.000638047
88,1581.8,0.74135,0.44588,0.96804,0.8951,0.91397,0.91287,0.7191,0.77,0.49799,0.95992,0.000632548,0.000632548,0.000632548
89,1599.62,0.73443,0.45092,0.97094,0.90686,0.91901,0.91609,0.71578,0.77157,0.49485,0.96924,0.000627048,0.000627048,0.000627048
90,1617.44,0.73663,0.44786,0.97054,0.89897,0.90686,0.91913,0.72092,0.76474,0.50505,0.96561,0.000621549,0.000621549,0.000621549
91,1635.51,0.73572,0.44757,0.97153,0.89399,0.92032,0.91662,0.71882,0.76857,0.49795,0.97873,0.000616049,0.000616049,0.000616049
92,1653.62,0.74274,0.44582,0.97585,0.90397,0.90765,0.92168,0.72024,0.77411,0.49802,0.97563,0.00061055,0.00061055,0.00061055
93,1671.81,0.73488,0.44618,0.97396,0.8878,0.9199,0.90858,0.72099,0.75476,0.50782,0.96217,0.000605051,0.000605051,0.000605051
94,1690,0.74065,0.44551,0.97107,0.88482,0.92596,0.9153,0.72076,0.7753,0.49975,0.96336,0.000599551,0.000599551,0.000599551
95,1707.95,0.73586,0.44028,0.97112,0.88454,0.91379,0.90811,0.71606,0.77009,0.50841,0.96749,0.000594052,0.000594052,0.000594052
96,1726.01,0.72093,0.43291,0.96486,0.90848,0.91046,0.91436,0.72312,0.76464,0.49755,0.96328,0.000588552,0.000588552,0.000588552
97,1744.09,0.72333,0.43556,0.96542,0.90606,0.90597,0.91361,0.71735,0.76898,0.50251,0.965,0.000583053,0.000583053,0.000583053
98,1761.84,0.73737,0.44411,0.97371,0.89058,0.90425,0.91164,0.71168,0.77776,0.51979,0.96838,0.000577553,0.000577553,0.000577553
99,1779.5,0.72999,0.43719,0.96777,0.86826,0.91884,0.90892,0.7184,0.76663,0.52226,0.96795,0.000572054,0.000572054,0.000572054
100,1797.2,0.72337,0.43517,0.96511,0.88828,0.91504,0.90937,0.71828,0.76837,0.50288,0.97418,0.000566554,0.000566554,0.000566554
101,1815.05,0.7262,0.43231,0.96263,0.89566,0.90906,0.91306,0.71856,0.76387,0.50618,0.96426,0.000561055,0.000561055,0.000561055
102,1832.95,0.71161,0.42994,0.96427,0.89668,0.91399,0.91583,0.72683,0.75491,0.50682,0.96798,0.000555556,0.000555556,0.000555556
103,1850.7,0.71,0.42836,0.96186,0.89656,0.90801,0.91329,0.72234,0.76227,0.51655,0.96967,0.000550056,0.000550056,0.000550056
104,1868.63,0.7161,0.43321,0.9628,0.89205,0.91184,0.91289,0.72484,0.75714,0.50543,0.96682,0.000544557,0.000544557,0.000544557
105,1886.57,0.71197,0.43426,0.95968,0.89359,0.90854,0.91272,0.72654,0.75418,0.50589,0.96236,0.000539057,0.000539057,0.000539057
106,1904.43,0.71542,0.4251,0.96126,0.89631,0.91368,0.91624,0.72755,0.75907,0.49995,0.96548,0.000533558,0.000533558,0.000533558
107,1922.15,0.71395,0.42803,0.96303,0.88749,0.91051,0.91122,0.71653,0.76092,0.5093,0.97556,0.000528058,0.000528058,0.000528058
108,1940.05,0.70762,0.42162,0.96184,0.89509,0.90566,0.91635,0.72231,0.75807,0.50303,0.96726,0.000522559,0.000522559,0.000522559
109,1958.17,0.71059,0.42803,0.96544,0.89196,0.91116,0.90815,0.71916,0.76324,0.50321,0.97966,0.000517059,0.000517059,0.000517059
110,1976.17,0.70874,0.42548,0.96264,0.88576,0.9191,0.91321,0.7241,0.7669,0.5008,0.97204,0.00051156,0.00051156,0.00051156
111,1994.09,0.71348,0.42084,0.95976,0.87795,0.92673,0.90941,0.72307,0.76462,0.50694,0.97593,0.00050606,0.00050606,0.00050606
112,2011.97,0.68829,0.41473,0.95396,0.90292,0.90913,0.91039,0.72269,0.75396,0.49956,0.96727,0.000500561,0.000500561,0.000500561
113,2029.87,0.7044,0.41999,0.9595,0.88797,0.92428,0.91744,0.73378,0.75141,0.50635,0.96442,0.000495062,0.000495062,0.000495062
114,2047.94,0.70483,0.42029,0.95654,0.90273,0.91778,0.91695,0.72814,0.75219,0.4961,0.96806,0.000489562,0.000489562,0.000489562
115,2065.76,0.69197,0.40517,0.95513,0.89753,0.91776,0.91428,0.72544,0.75652,0.48817,0.97081,0.000484063,0.000484063,0.000484063
116,2083.66,0.69188,0.41183,0.95669,0.8942,0.91567,0.91107,0.72605,0.75275,0.49535,0.96227,0.000478563,0.000478563,0.000478563
117,2101.76,0.69537,0.41399,0.95505,0.89512,0.92062,0.91603,0.72859,0.75838,0.50055,0.96113,0.000473064,0.000473064,0.000473064
118,2119.64,0.69134,0.40923,0.94826,0.89656,0.90568,0.91214,0.72308,0.76239,0.50548,0.96947,0.000467564,0.000467564,0.000467564
119,2137.41,0.69541,0.41497,0.95581,0.88621,0.92499,0.91672,0.73072,0.74336,0.49365,0.96143,0.000462065,0.000462065,0.000462065
120,2155.18,0.69432,0.41011,0.95728,0.90381,0.89969,0.91314,0.72479,0.76639,0.51501,0.97262,0.000456565,0.000456565,0.000456565
121,2173.13,0.69099,0.41238,0.95556,0.87407,0.93294,0.9123,0.72315,0.75711,0.50467,0.97024,0.000451066,0.000451066,0.000451066
122,2191.03,0.68156,0.4082,0.95086,0.89573,0.91335,0.91859,0.7283,0.76206,0.50191,0.97469,0.000445567,0.000445567,0.000445567
123,2208.94,0.68488,0.40763,0.95533,0.89112,0.92081,0.91412,0.72858,0.75752,0.50635,0.96853,0.000440067,0.000440067,0.000440067
124,2226.95,0.68587,0.40586,0.95269,0.9069,0.91256,0.91941,0.732,0.75116,0.50083,0.96348,0.000434568,0.000434568,0.000434568
125,2244.8,0.68104,0.40463,0.94761,0.89333,0.92003,0.91833,0.73179,0.74547,0.49176,0.96496,0.000429068,0.000429068,0.000429068
126,2262.56,0.67858,0.40507,0.95165,0.89069,0.9123,0.91481,0.72668,0.75507,0.50563,0.96429,0.000423569,0.000423569,0.000423569
127,2280.41,0.67258,0.3988,0.95061,0.90583,0.91235,0.91563,0.7319,0.75933,0.50246,0.96498,0.000418069,0.000418069,0.000418069
128,2298.29,0.67755,0.39557,0.94404,0.88014,0.93049,0.91469,0.72644,0.75358,0.50601,0.96763,0.00041257,0.00041257,0.00041257
129,2316.28,0.67525,0.39959,0.94865,0.90517,0.90442,0.91536,0.72959,0.7513,0.5037,0.96583,0.00040707,0.00040707,0.00040707
130,2334.16,0.67472,0.40089,0.9496,0.89565,0.92288,0.92153,0.73762,0.74006,0.48863,0.95648,0.000401571,0.000401571,0.000401571
131,2351.94,0.66344,0.40116,0.94479,0.90831,0.90904,0.92073,0.73095,0.75264,0.49323,0.96516,0.000396071,0.000396071,0.000396071
132,2369.93,0.672,0.3961,0.94339,0.89704,0.91554,0.91171,0.72859,0.75032,0.49329,0.96508,0.000390572,0.000390572,0.000390572
133,2387.92,0.66563,0.39732,0.94156,0.87943,0.92593,0.91468,0.72837,0.75076,0.50093,0.97151,0.000385073,0.000385073,0.000385073
134,2405.69,0.66838,0.40191,0.94965,0.88298,0.925,0.91748,0.73668,0.74843,0.49591,0.96531,0.000379573,0.000379573,0.000379573
135,2423.55,0.66949,0.3908,0.94907,0.9047,0.90347,0.91483,0.72941,0.75941,0.50059,0.97786,0.000374074,0.000374074,0.000374074
136,2441.52,0.66263,0.38886,0.94261,0.90537,0.89927,0.91547,0.73193,0.74882,0.50717,0.97398,0.000368574,0.000368574,0.000368574
137,2459.61,0.66641,0.39497,0.94994,0.88146,0.92354,0.91801,0.73795,0.74582,0.49863,0.96449,0.000363075,0.000363075,0.000363075
138,2477.76,0.65779,0.39216,0.93967,0.89354,0.9192,0.91622,0.733,0.752,0.49664,0.96421,0.000357575,0.000357575,0.000357575
139,2495.57,0.66336,0.38851,0.94635,0.89206,0.90974,0.91461,0.72867,0.75267,0.5004,0.97073,0.000352076,0.000352076,0.000352076
140,2513.3,0.66146,0.38522,0.94229,0.89311,0.91009,0.91225,0.73093,0.74498,0.51162,0.96874,0.000346576,0.000346576,0.000346576
141,2531.05,0.65938,0.38698,0.94318,0.89884,0.91054,0.91392,0.7303,0.74987,0.50951,0.96703,0.000341077,0.000341077,0.000341077
142,2548.95,0.65588,0.38461,0.93951,0.90154,0.91232,0.91653,0.72893,0.74771,0.49696,0.96758,0.000335578,0.000335578,0.000335578
143,2566.73,0.65095,0.38076,0.93904,0.90025,0.90969,0.91592,0.73295,0.75404,0.50012,0.97313,0.000330078,0.000330078,0.000330078
144,2584.72,0.65188,0.3863,0.94,0.90567,0.91235,0.91759,0.73049,0.75052,0.48929,0.96748,0.000324579,0.000324579,0.000324579
